Date;Price
04.03.2023;171
04.04.2023;171
04.05.2023;173
04.06.2023;174
04.07.2023;172
04.10.2023;174
04.11.2023;175
04.12.2023;178
05.02.2023;181
05.03.2023;178
05.04.2023;173
05.05.2023;174
05.08.2023;173
05.10.2023;171
05.11.2023;176
05.12.2023;174
06.01.2023;163
06.02.2023;161
06.05.2023;163
06.06.2023;162
06.07.2023;163
06.08.2023;165
06.09.2023;166
07.03.2023;167
07.04.2023;167
07.05.2023;166
07.06.2023;166
07.07.2023;167
07.10.2023;168
07.11.2023;168
07.12.2023;169
08.01.2023;175
08.02.2023;173
08.03.2023;174
08.04.2023;177
08.07.2023;174
08.08.2023;172
08.09.2023;173
08.10.2023;175
08.11.2023;177
09.01.2023;178
09.04.2023;179
09.05.2023;181
09.06.2023;183
09.07.2023;181
09.08.2023;178
09.11.2023;176
09.12.2023;175
10.02.2023;168
10.03.2023;166
10.04.2023;167
10.05.2023;166
10.06.2023;166
10.09.2023;167
10.10.2023;167
10.11.2023;169
10.12.2023;168
11.01.2023;168
11.02.2023;170
11.03.2023;168
11.06.2023;169
11.07.2023;169
11.08.2023;169
11.09.2023;168
11.10.2023;168
12.01.2023;163
12.04.2023;162
12.05.2023;160
12.06.2023;161
12.07.2023;159
12.08.2023;164
12.11.2023;161
12.12.2023;165
01.03.2024;160
01.04.2024;162
01.05.2024;161
01.08.2024;162
01.09.2024;163
01.10.2024;162
01.11.2024;163
01.12.2024;163
02.01.2024;167
02.02.2024;165
02.05.2024;164
02.06.2024;165
02.07.2024;165
02.08.2024;165
02.09.2024;163
04.13.2023;179
04.14.2023;179
04.17.2023;181
04.18.2023;182
04.19.2023;184
04.20.2023;182
04.21.2023;182
04.24.2023;181
04.25.2023;182
04.26.2023;179
04.27.2023;178
04.28.2023;184
05.15.2023;175
05.16.2023;180
05.17.2023;177
05.18.2023;176
05.19.2023;175
05.22.2023;175
05.23.2023;173
05.24.2023;166
05.25.2023;163
05.26.2023;162
05.29.2023;166
05.30.2023;162
05.31.2023;162
06.13.2023;166
06.14.2023;169
06.15.2023;168
06.16.2023;172
06.19.2023;170
06.20.2023;170
06.21.2023;170
06.22.2023;170
06.23.2023;168
06.26.2023;168
06.27.2023;167
06.28.2023;167
06.29.2023;168
06.30.2023;167
07.13.2023;171
07.14.2023;169
07.17.2023;169
07.18.2023;171
07.19.2023;175
07.20.2023;173
07.21.2023;170
07.24.2023;171
07.25.2023;172
07.26.2023;172
07.27.2023;172
07.28.2023;172
07.31.2023;172
08.14.2023;178
08.15.2023;176
08.16.2023;176
08.17.2023;175
08.18.2023;174
08.21.2023;176
08.22.2023;176
08.23.2023;177
08.24.2023;174
08.25.2023;175
08.28.2023;175
08.29.2023;176
08.30.2023;179
08.31.2023;178
09.13.2023;178
09.14.2023;175
09.15.2023;174
09.18.2023;174
09.19.2023;173
09.20.2023;169
09.21.2023;169
09.22.2023;166
09.25.2023;167
09.26.2023;166
09.27.2023;166
09.28.2023;166
09.29.2023;169
10.13.2023;170
10.16.2023;171
10.17.2023;173
10.18.2023;173
10.19.2023;170
10.20.2023;170
10.23.2023;172
10.24.2023;170
10.25.2023;170
10.26.2023;170
10.27.2023;168
10.30.2023;167
10.31.2023;167
11.13.2023;168
11.14.2023;167
11.15.2023;166
11.16.2023;166
11.17.2023;165
11.20.2023;165
11.21.2023;165
11.22.2023;165
11.23.2023;165
11.24.2023;164
11.27.2023;165
11.28.2023;163
11.29.2023;164
11.30.2023;163
12.13.2023;162
12.14.2023;164
12.15.2023;161
12.18.2023;165
12.19.2023;167
12.20.2023;165
12.21.2023;163
12.22.2023;162
12.25.2023;162
12.26.2023;161
12.27.2023;161
12.28.2023;160
12.29.2023;159
01.15.2024;164
01.16.2024;163
01.17.2024;163
01.18.2024;164
01.19.2024;167
01.22.2024;166
01.23.2024;166
01.24.2024;168
01.25.2024;166
01.26.2024;166
01.29.2024;164
01.30.2024;163
01.31.2024;163
